anio,cancion,artista,generos_artista,popularidad,fecha_lanzamiento
2010,Solo un Momento,Vicentico,"argentine rock, latin rock, rock en español",59,2010
2010,Gnaw,Alex G,,70,2010-01-01
2010,Heaven Nor Hell,Volbeat,"rock, metal",60,2010-09-10
2010,Paisaje,Vicentico,"argentine rock, latin rock, rock en español",62,2010
2010,Labios Compartidos,Maná,"rock en español, latin rock, mexican rock, latin pop",51,2010-03-16
2010,Ella,Tan Bionica,argentine rock,63,2010-01-01
2010,Shoot to Thrill,AC/DC,"rock, hard rock, classic rock, rock and roll",57,2010-04-29
2010,Beat the Devil's Tattoo,Black Rebel Motorcycle Club,"southern gothic, garage rock, blues rock",56,2010-03-07
2010,2 Caras 2 Corazones,Caramelos De Cianuro,"latin rock, rock en español",53,2010
2010,Fallen,Volbeat,"rock, metal",63,2010-09-10
2010,Beauty School,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",69,2010-04-30
2010,Mariposa Traicionera,Maná,"rock en español, latin rock, mexican rock, latin pop",58,2010-03-16
2010,Do Ya Wanna Taste It,Wig Wam,"glam rock, norsk rock, glam metal",67,2010-01-22
2010,Agarra Mi Mano,Sean Paul,dancehall,60,2010-02-12
2010,Risk,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",73,2010-04-30
2010,Palaces of Montezuma,Grinderman,garage rock,52,2010-01-01
2010,Oh Lord,Foxy Shazam,glam rock,71,2010-04-12
2010,Diamond Eyes,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",69,2010-04-30
2010,Verano,Caramelos De Cianuro,"latin rock, rock en español",53,2010
2010,Ángel con campera,No Te Va Gustar,"argentine rock, murga, latin rock, rock en español, latin alternative",30,2010-11-02
2010,Back In Black,AC/DC,"rock, hard rock, classic rock, rock and roll",59,2010-04-29
2010,Loca,Tan Bionica,argentine rock,66,2010-01-01
2010,Comin' Through,The War On Drugs,indie rock,57,2010-10-26
2010,Not Strong Enough,Apocalyptica,symphonic metal,68,2010-08-20
2010,Sextape,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",82,2010-04-30
2010,Contra la pared,Desakato,ska punk,33,2010-02-01
2010,Doctor My Eyes - 1997 Remaster,Jackson Browne,"yacht rock, folk rock, soft rock, singer-songwriter",67,2010-04-05
2010,Rubia Sol Morena Luna,Caramelos De Cianuro,"latin rock, rock en español",60,2010
2010,It's My Life,Bon Jovi,"glam metal, rock",57,2010-11-09
2010,Al Vacio,No Te Va Gustar,"argentine rock, murga, latin rock, rock en español, latin alternative",32,2010-11-02
2010,Personalmente,Las Pelotas,"argentine rock, rock en español",66,2010-11-09
2010,Adiós Amor,Caramelos De Cianuro,"latin rock, rock en español",50,2010
