Uri,Nombre_Cancion_o_Album,Artista,Genero_Musical_Seed,Cancion_o_Album_Tipo,Año_Lanzamiento
spotify:track:4F7SWwVXyvGlCs9TtXJbUd,Gnaw,Alex G,indie,track,2010
spotify:track:2ZEeBTNPxuMhxh18vUMKX6,Mi rutina preferida,Miss Caffeina,indie,track,2010
spotify:track:7820J99MJU42DADC6DsMfh,Contigo en la Distancia,Pedro Guerra,indie,track,2010
spotify:track:2H374FXU4gF90haHGJlGLI,Febrero,La Habitación Roja,indie,track,2010
spotify:track:0y9TgKwklqvg5GzdGy8DKc,Te Debo un Baile,The New Raemon,indie,track,2010
spotify:track:0wS84KJ0rn0hfBK2yDZJRn,Mouthful of Diamonds,Phantogram,indie,track,2010
spotify:track:4Zts9erRexAxILn5XjSwUN,Futile Devices,Sufjan Stevens,indie,track,2010
spotify:track:5TLa2U0b00zUsO4NsemDpe,Desorden,IZAL,indie,track,2010
spotify:track:7pOrN8TYTjTzDZYQMShjXl,Comin' Through,The War On Drugs,indie,track,2010
spotify:track:49skdn8Truaufvcz8BXmtT,Lets Go Surfing,The Drums,indie,track,2010
spotify:track:4JHg4nNYUJQ5HULcCmI18R,What You Know,Two Door Cinema Club,indie,track,2010
spotify:track:6ngM4BI3VW2fe0SzQX7Ouw,Las transeúntes,Jorge Drexler,indie,track,2010
spotify:track:1hH1hQ12bsprzGJm85AtDr,Religión,Lori Meyers,indie,track,2010
spotify:track:3y1EzRl5UEQxxd1f6Bv2aN,When I'm Small,Phantogram,indie,track,2010
spotify:track:4N90LxX3kWhJucPQ484Qy9,I Can Talk,Two Door Cinema Club,indie,track,2010
spotify:track:2ZlLpteE2eRUKzMyyhNSRw,Corazón Elocuente,Lori Meyers,indie,track,2010
spotify:track:3DczsC0yjzKebbhEp0V9zQ,Cientocero,Supersubmarina,indie,track,2010
spotify:track:6r5U58FCjV9JjBEXvszeOw,Ola De Calor,Supersubmarina,indie,track,2010
spotify:track:3QGFHhGxUDtPAhdipwSrpl,Love is All,The Tallest Man On Earth,indie,track,2010
spotify:track:4kldZkFd5A0CktDfg6B6CD,XXI,Supersubmarina,indie,track,2010
spotify:track:7AmlYs7eLW4APviIeF7Qkt,Mi Realidad - David Kano Remix,Lori Meyers,indie,track,2010
spotify:track:67SrO8B3O8iUq0AmEh0VzJ,Something Good Can Work,Two Door Cinema Club,indie,track,2010
spotify:track:1ozbWlTQASs311dSO5R6vp,Lucha De Gigantes,Love of Lesbian,indie,track,2010
spotify:track:1mYagLkg6NxBCITrH2isyA,Para tocar el cielo,Tontxu,indie,track,2010
spotify:track:0eTNLIPzgURsXMdgX4cdpJ,LN Granada,Supersubmarina,indie,track,2010
spotify:track:2cLWFWkZzgHWYajumPFUbg,Demon Host,Timber Timbre,indie,track,2010
spotify:track:4eAMfp9wTH35CnI1N9RcB5,Voy a Hacerte Recordar,La Habitación Roja,indie,track,2010
spotify:track:56eSclzdXaWU5jOJ7DX7Vp,Silver Soul,Beach House,indie,track,2010
spotify:track:6GQLX6Z28fYwDNCrhaKzYF,Undercover Martyn,Two Door Cinema Club,indie,track,2010
spotify:track:3nbfNgu1peZQuoLOiefxqf,Electrico,Supersubmarina,indie,track,2010
spotify:track:5tXoYnudQeaCQjWmFjP5f5,Sit Down Beside Me,Patrick Watson,indie,track,2010
spotify:track:6gUbpcQmFvDUbe7a213wlr,Soulman - New English Version,Ben L'Oncle Soul,indie,track,2010
spotify:track:7MG5lD0TBjyAL2xGiSec4q,Eres,Supersubmarina,indie,track,2010
spotify:track:0epAG0WWRlDMsMFJiE5c6I,Sprawl II (Mountains Beyond Mountains),Arcade Fire,indie,track,2010
spotify:track:33X9miK4Xz7pNeVrc9RITG,Ready to Start,Arcade Fire,indie,track,2010
spotify:track:5iItYl3Q6wCnKVfpK1uNVf,The Suburbs,Arcade Fire,indie,track,2010
spotify:track:5wQsHNpF6ivosuimPeo7Lo,Toda una Vida,Pedro Guerra,indie,track,2010
spotify:track:0m0HaxmlOkzi0Yby75t2o7,Mi Realidad,Lori Meyers,indie,track,2010
spotify:track:6yAE92QFdMZbQ4SRGU1up2,Capitán,Miss Caffeina,indie,track,2010
spotify:track:7ixB1UqUrV87IvACFJayXy,Supersubmarina,Supersubmarina,indie,track,2010
spotify:track:5HBab5WIBKbth2WWWZzw2z,Elastica Galactica,Supersubmarina,indie,track,2010
spotify:track:2XeSc6HplUMIKgKOtRouUe,A Mí Se Me Conquista,Antílopez,indie,track,2010
spotify:track:0p7ZuCBUYIDG8uDVOTHXvq,No Gires,Varry Brava,indie,track,2010
spotify:track:4Qkh07f6VAwhYPGBa37cXa,Niebla,Supersubmarina,indie,track,2010
spotify:track:03WR6VvEY3EIJklavG72LY,Ana,Supersubmarina,indie,track,2010
spotify:track:1adOxjns5k5HgR9XvgPpXJ,¿A-ha Han Vuelto?,Lori Meyers,indie,track,2010
spotify:track:5Bi5BqXkwQMLBRNTn6lRpR,Errante (Canción Mutante),Niños Mutantes,indie,track,2010
spotify:track:0UV5zxRMz6AO4ZwUOZNIKI,Where'd All the Time Go?,Dr. Dog,indie,track,2010
spotify:track:4Bk5Q65UbeAShxoQmddBYR,Eco,IZAL,indie,track,2010
spotify:track:6T1071kNui4EUABJp4Dciq,Chas! Y Aparezco A Tu Lado,Supersubmarina,indie,track,2010
spotify:track:1o26elVBtgO5x7HHJWmAcx,Crab,Alex G,indie,track,2010
spotify:track:4MteadAdoJXNnuBIa0Q1ZK,Prayer In C,Lilly Wood and The Prick,indie,track,2010
spotify:track:4SgcE7RxpK3ydWrjoAQH1K,Why Won't You Make Up Your Mind?,Tame Impala,indie,track,2010
spotify:track:4fd8g07C6d8xxmjCNjevfC,The Devil's Tears,Angus & Julia Stone,indie,track,2010
spotify:track:4cYZRebfwTsVNERxTm29Rb,Holiday,Vampire Weekend,indie,track,2010
spotify:track:5ewQvWOpYJ60zpy9Ap8aK0,The Gardener,The Tallest Man On Earth,indie,track,2010
spotify:track:3GgA0KZ3AMu8SInRmB1pmo,We Used to Wait,Arcade Fire,indie,track,2010
spotify:track:7AUNLTfCQnCGI0jN3ghwB9,Chueca,Tontxu,indie,track,2010
spotify:track:74rxrK8humme7S9LUn1SxK,Quédate a Mi Lado,Mr. Kilombo,indie,track,2010
spotify:track:6RAbaZAbLZMBCqLgJX7lij,Castillos De Naipes,Lori Meyers,indie,track,2010
spotify:track:5VWRCDKukSgYRAhXMriSCu,Modern Man,Arcade Fire,indie,track,2010
spotify:track:4tFOkEWNXiheSDnURpmGTp,Cousins,Vampire Weekend,indie,track,2010
spotify:track:2tKMcFgiaLa8GGeUUK2UAU,King of Spain,The Tallest Man On Earth,indie,track,2010
spotify:track:60aWOhenofxdFViDXn3lfp,Bombay,El Guincho,indie,track,2010
spotify:track:4z4znMSHl2zPzo82Lyo2KR,Bipolaridad,Señor Mostaza,indie,track,2010
spotify:track:5uWLuFDmMs1r44KFfUwWiA,Thinking Of You,Lord Echo,indie,track,2010
spotify:track:6hQKqpIgAsN0SucZXa7zQr,For You,Angus & Julia Stone,indie,track,2010
spotify:track:0MY5Nr265JNQP5rIFKpUhC,Magia Electroviral,Supersubmarina,indie,track,2010
spotify:track:23gau0wzMhVICKk7S0cEYS,This Is the Life,Two Door Cinema Club,indie,track,2010
spotify:track:6lRJqlbbsSAyoN67hVsF8A,Leave,Whirr,indie,track,2010
spotify:track:10gFlMGU79vEwN55q6vG0k,Ley de gravitación universal,Miss Caffeina,indie,track,2010
