Uri,Nombre_Cancion_o_Album,Artista,Genero_Musical_Seed,Cancion_o_Album_Tipo,Año_Lanzamiento
spotify:track:0PRqWiyOFMHVee81mr1bp6,If We Ever Meet Again,Timbaland,pop,track,2010
spotify:track:61s24wRVyG7NP9m7EjdDKL,Don’t Stop The Party,Black Eyed Peas,pop,track,2010
spotify:track:52hQY9AntPqOQM46N9BnfC,Amazing,INNA,pop,track,2010
spotify:track:2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),Rihanna,pop,track,2010
spotify:track:2r6DdaSbkbwoPzuK6NjLPn,Can't Be Tamed,Miley Cyrus,pop,track,2010
spotify:track:2VZ5Vtjn16RThAvaFz3sJZ,Get Outta My Way,Kylie Minogue,pop,track,2010
spotify:track:7ySUcLPVX7KudhnmNcgY2D,S&M,Rihanna,pop,track,2010
spotify:track:14QX1ckbDIhqetvu5VZ3cP,In This Shirt,The Irrepressibles,pop,track,2010
spotify:track:1GxHeBvQ9935Dd3cSfsfBa,Best I Ever Had,Drake,pop,track,2010
spotify:track:4SlCb8n5Jw52astU7GWPyV,Somebody's Baby,Jackson Browne,pop,track,2010
spotify:track:238Sekyg7DyN2XDm0z4oWY,Fancy,Drake,pop,track,2010
spotify:track:1FCQEg7wOK9IIBuxx63krr,And We Danced (feat. Ziggy Stardust),Macklemore,pop,track,2010
spotify:track:2Xh7dyCHCErCv3PmdVEGw4,Rabiosa (feat. Pitbull),Shakira,pop,track,2010
spotify:track:4GRFzKI7jTZ3kbMfouc7bn,Backstabber,Kesha,pop,track,2010
spotify:track:4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",Train,pop,track,2010
spotify:track:26lxGeXwldBZCELoTUp0r6,Miracle,Cascada,pop,track,2010
spotify:track:4zy1s9GnxWsNzZp1688euA,Addicted to You,Shakira,pop,track,2010
spotify:track:2bnDTGikdoO8CwzlAPyBHR,"Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)",B.o.B,pop,track,2010
spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,pop,track,2010
spotify:track:1p5jgCAGFDBIBs6ZbWIMvA,Bad Boy,Cascada,pop,track,2010
spotify:track:67Io3gxHwfbUreBf114c0u,Mine,Taylor Swift,pop,track,2010
spotify:track:3a6PN6BRB8PP3ms48s7kU1,Empire Ants (feat. Little Dragon),Gorillaz,pop,track,2010
spotify:track:1kMuU3TNQvHbqvXCWBodmP,Right Above It,Lil Wayne,pop,track,2010
spotify:track:5YJtMNWKe55yr49cyJgxva,Everytime We Touch,Cascada,pop,track,2010
spotify:track:6qUSs4FDzZUdAhY6JDIJfa,Who's That Chick? (feat. Rihanna),David Guetta,pop,track,2010
spotify:track:6GEIpzW14NtOjqHejbcSRE,Journal of Ardency,Class Actress,pop,track,2010
spotify:track:7F1lHcpnTycnimQrCxDFI5,Hot,INNA,pop,track,2010
spotify:track:7ees95rN2dQT95yZdtWkzE,Seventeen,MARINA,pop,track,2010
spotify:track:22wKQbMH8n7wZfso2VcLJL,Opposite of Adults,Chiddy Bang,pop,track,2010
spotify:track:4UB3TaEGEY9WoOpxYNMgy4,The Safety Dance,Men Without Hats,pop,track,2010
spotify:track:1hRFVIy9As8OVRk8B7CrD5,When Love Takes Over (feat. Kelly Rowland),David Guetta,pop,track,2010
spotify:track:1gv4xPanImH17bKZ9rOveR,Raise Your Glass,P!nk,pop,track,2010
spotify:track:4Zts9erRexAxILn5XjSwUN,Futile Devices,Sufjan Stevens,pop,track,2010
spotify:track:396Ztr02XlsGj6zy9NYjKm,Stereo Love - Extended Version,Edward Maya,pop,track,2010
spotify:track:6yM6QsnTCTVOkKEvg3hGlo,Mean,Taylor Swift,pop,track,2010
spotify:track:56eSclzdXaWU5jOJ7DX7Vp,Silver Soul,Beach House,pop,track,2010
spotify:track:5aTsxlQlq0vIedDWZoqMWN,Lights - Single Version,Ellie Goulding,pop,track,2010
spotify:track:3DDBW9yeXc0RQUAOBeKYti,Cheers (Drink To That),Rihanna,pop,track,2010
spotify:track:05PNBWOlexyIehkrSmvZSY,E.T.,Katy Perry,pop,track,2010
spotify:track:5OuaAMBmGjjJMK7yXpaFAK,Doctor My Eyes - 1997 Remaster,Jackson Browne,pop,track,2010
spotify:track:2zS9d35OfMFfc4oFf1BTeQ,Hello,Martin Solveig,pop,track,2010
